x_center, density_A, density_B, density_total
13.850000, 0.002989, 3.032730, 3.035719
13.950000, 0.003330, 3.036684, 3.040014
14.050000, 0.002880, 3.017806, 3.020686
14.150000, 0.002902, 3.030689, 3.033591
14.250000, 0.002473, 3.026147, 3.028620
14.350000, 0.002539, 3.034070, 3.036609
14.450000, 0.002398, 3.025863, 3.028261
14.550000, 0.002169, 3.046448, 3.048617
14.650000, 0.002245, 3.028947, 3.031192
14.750000, 0.002709, 3.013380, 3.016089
14.850000, 0.002508, 3.020731, 3.023239
14.950000, 0.002127, 3.026073, 3.028200
15.050000, 0.002159, 3.048631, 3.050791
15.150000, 0.001912, 3.038584, 3.040497
15.250000, 0.001888, 3.032439, 3.034327
15.350000, 0.001737, 3.026611, 3.028348
15.450000, 0.001734, 3.031406, 3.033141
15.550000, 0.001891, 3.017863, 3.019753
15.650000, 0.001495, 3.018317, 3.019813
15.750000, 0.001753, 3.058177, 3.059930
15.850000, 0.002453, 3.027633, 3.030086
15.950000, 0.002642, 3.030616, 3.033258
16.050000, 0.002423, 3.032987, 3.035411
16.150000, 0.002191, 3.026502, 3.028692
16.250000, 0.002398, 3.019862, 3.022261
16.350000, 0.002202, 3.034250, 3.036452
16.450000, 0.001892, 3.031902, 3.033794
16.550000, 0.001634, 3.032459, 3.034094
16.650000, 0.001613, 3.035669, 3.037281
16.750000, 0.001723, 3.036669, 3.038392
16.850000, 0.001584, 3.021911, 3.023495
16.950000, 0.001667, 3.025983, 3.027650
17.050000, 0.001909, 3.034883, 3.036792
17.150000, 0.001931, 3.022844, 3.024775
17.250000, 0.002242, 3.033741, 3.035983
17.350000, 0.002173, 3.029117, 3.031291
17.450000, 0.002611, 3.029672, 3.032283
17.550000, 0.002506, 3.044955, 3.047461
17.650000, 0.002306, 3.038366, 3.040672
17.750000, 0.002609, 3.023669, 3.026278
17.850000, 0.002828, 3.017577, 3.020405
17.950000, 0.003486, 3.029956, 3.033442
18.050000, 0.003475, 3.026483, 3.029958
18.150000, 0.003938, 3.023837, 3.027775
18.250000, 0.005072, 3.035066, 3.040138
18.350000, 0.006364, 3.034945, 3.041309
18.450000, 0.007606, 3.027827, 3.035433
18.550000, 0.009852, 3.015153, 3.025005
18.650000, 0.011680, 3.009377, 3.021056
18.750000, 0.015300, 3.004834, 3.020134
18.850000, 0.022956, 3.002023, 3.024980
18.950000, 0.033452, 2.990145, 3.023597
19.050000, 0.050359, 2.966405, 3.016764
19.150000, 0.075830, 2.913112, 2.988942
19.250000, 0.114428, 2.856902, 2.971330
19.350000, 0.172031, 2.779159, 2.951191
19.450000, 0.254081, 2.654270, 2.908352
19.550000, 0.368967, 2.496686, 2.865653
19.650000, 0.530942, 2.290272, 2.821214
19.750000, 0.734373, 2.036022, 2.770395
19.850000, 0.971322, 1.767923, 2.739245
19.950000, 1.227094, 1.480694, 2.707787
