# samples=4671226772094713856 bins=1000 xmax=20
x_center, volfrac_A, count_A, count_total
2.510000e+00,1.948503e-01,39018,200246
2.530000e+00,1.990144e-01,38889,195408
2.550000e+00,2.039282e-01,38686,189704
2.570000e+00,2.112824e-01,38858,183915
2.590000e+00,2.170869e-01,39037,179822
2.610000e+00,2.255435e-01,39432,174831
2.630000e+00,2.317895e-01,39232,169257
2.650000e+00,2.368900e-01,38908,164245
2.670000e+00,2.452125e-01,39016,159111
2.690000e+00,2.507783e-01,38745,154499
2.710000e+00,2.554733e-01,38391,150274
2.730000e+00,2.636512e-01,38342,145427
2.750000e+00,2.722234e-01,38607,141821
2.770000e+00,2.849650e-01,39334,138031
2.790000e+00,2.922954e-01,39148,133933
2.810000e+00,3.041039e-01,39511,129926
2.830000e+00,3.101859e-01,39241,126508
2.850000e+00,3.223701e-01,39706,123169
2.870000e+00,3.270936e-01,39001,119235
2.890000e+00,3.356308e-01,38860,115782
2.910000e+00,3.438776e-01,38320,111435
2.930000e+00,3.590291e-01,39211,109214
2.950000e+00,3.671580e-01,38708,105426
2.970000e+00,3.778257e-01,38743,102542
2.990000e+00,3.924567e-01,39135,99718
3.010000e+00,3.997991e-01,38998,97544
3.030000e+00,4.093631e-01,38483,94007
3.050000e+00,4.239671e-01,38963,91901
3.070000e+00,4.367613e-01,39136,89605
3.090000e+00,4.441643e-01,38398,86450
3.110000e+00,4.547950e-01,38110,83796
3.130000e+00,4.725553e-01,39017,82566
3.150000e+00,4.837131e-01,38743,80095
3.170000e+00,4.998481e-01,39500,79024
3.190000e+00,5.161122e-01,39464,76464
3.210000e+00,5.286776e-01,39903,75477
3.230000e+00,5.381885e-01,39573,73530
3.250000e+00,5.531835e-01,39749,71855
3.270000e+00,5.623673e-01,38922,69211
3.290000e+00,5.737642e-01,38709,67465
3.310000e+00,5.847928e-01,38801,66350
3.330000e+00,5.992439e-01,38991,65067
3.350000e+00,6.163201e-01,39124,63480
3.370000e+00,6.293943e-01,39120,62155
3.390000e+00,6.433553e-01,39668,61658
3.410000e+00,6.557377e-01,39600,60390
3.430000e+00,6.661241e-01,38875,58360
3.450000e+00,6.730601e-01,38425,57090
3.470000e+00,6.932087e-01,39237,56602
3.490000e+00,7.049543e-01,39144,55527
3.510000e+00,7.148054e-01,39102,54703
3.530000e+00,7.279931e-01,38770,53256
3.550000e+00,7.341627e-01,38360,52250
3.570000e+00,7.476244e-01,38946,52093
3.590000e+00,7.595175e-01,38405,50565
3.610000e+00,7.719964e-01,39036,50565
3.630000e+00,7.815367e-01,39019,49926
3.650000e+00,7.971199e-01,39357,49374
3.670000e+00,8.024275e-01,38807,48362
3.690000e+00,8.114662e-01,38414,47339
3.710000e+00,8.225476e-01,38538,46852
3.730000e+00,8.313407e-01,38452,46253
3.750000e+00,8.373240e-01,38537,46024
3.770000e+00,8.485994e-01,39291,46301
3.790000e+00,8.553220e-01,39391,46054
3.810000e+00,8.625080e-01,39019,45239
3.830000e+00,8.733417e-01,39434,45153
3.850000e+00,8.797536e-01,39281,44650
