# step=10000 samples=4671226772094713856 bins=1000 vmax=30
v_center, density, count
2.910000e+00,7.254883e-02,111435
2.930000e+00,7.110286e-02,109214
2.950000e+00,6.863672e-02,105426
2.970000e+00,6.675911e-02,102542
2.990000e+00,6.492057e-02,99718
3.010000e+00,6.350521e-02,97544
3.030000e+00,6.120247e-02,94007
3.050000e+00,5.983138e-02,91901
3.070000e+00,5.833659e-02,89605
3.090000e+00,5.628255e-02,86450
3.110000e+00,5.455469e-02,83796
3.130000e+00,5.375391e-02,82566
3.150000e+00,5.214518e-02,80095
3.170000e+00,5.144792e-02,79024
3.190000e+00,4.978125e-02,76464
3.210000e+00,4.913867e-02,75477
3.230000e+00,4.787109e-02,73530
3.250000e+00,4.678060e-02,71855
3.270000e+00,4.505924e-02,69211
3.290000e+00,4.392253e-02,67465
3.310000e+00,4.319661e-02,66350
3.330000e+00,4.236133e-02,65067
3.350000e+00,4.132813e-02,63480
3.370000e+00,4.046549e-02,62155
3.390000e+00,4.014193e-02,61658
3.410000e+00,3.931641e-02,60390
3.430000e+00,3.799479e-02,58360
3.450000e+00,3.716797e-02,57090
3.470000e+00,3.685026e-02,56602
3.490000e+00,3.615039e-02,55527
3.510000e+00,3.561393e-02,54703
3.530000e+00,3.467187e-02,53256
3.550000e+00,3.401693e-02,52250
3.570000e+00,3.391471e-02,52093
3.590000e+00,3.291992e-02,50565
3.610000e+00,3.291992e-02,50565
3.630000e+00,3.250391e-02,49926
3.650000e+00,3.214453e-02,49374
3.670000e+00,3.148568e-02,48362
3.690000e+00,3.081966e-02,47339
3.710000e+00,3.050260e-02,46852
3.730000e+00,3.011263e-02,46253
3.750000e+00,2.996354e-02,46024
3.770000e+00,3.014388e-02,46301
3.790000e+00,2.998307e-02,46054
3.810000e+00,2.945247e-02,45239
3.830000e+00,2.939648e-02,45153
3.850000e+00,2.906901e-02,44650
3.870000e+00,2.877995e-02,44206
3.890000e+00,2.878060e-02,44207
3.910000e+00,2.833854e-02,43528
3.930000e+00,2.815039e-02,43239
3.950000e+00,2.775130e-02,42626
3.970000e+00,2.745508e-02,42171
3.990000e+00,2.735937e-02,42024
4.010000e+00,2.708659e-02,41605
4.030000e+00,2.782161e-02,42734
4.050000e+00,2.762174e-02,42427
4.070000e+00,2.715169e-02,41705
4.090000e+00,2.681901e-02,41194
4.110000e+00,2.682422e-02,41202
4.130000e+00,2.731966e-02,41963
4.150000e+00,2.718815e-02,41761
4.170000e+00,2.639909e-02,40549
4.190000e+00,2.648633e-02,40683
4.210000e+00,2.641406e-02,40572
4.230000e+00,2.638867e-02,40533
4.250000e+00,2.613997e-02,40151
4.270000e+00,2.592708e-02,39824
4.290000e+00,2.614583e-02,40160
4.310000e+00,2.626628e-02,40345
4.330000e+00,2.592773e-02,39825
4.350000e+00,2.554167e-02,39232
4.370000e+00,2.545182e-02,39094
4.390000e+00,2.524154e-02,38771
4.410000e+00,2.550065e-02,39169
4.430000e+00,2.535156e-02,38940
4.450000e+00,2.480273e-02,38097
4.470000e+00,2.520833e-02,38720
4.490000e+00,2.502279e-02,38435
4.510000e+00,2.534570e-02,38931
4.530000e+00,2.579297e-02,39618
4.550000e+00,2.569336e-02,39465
4.570000e+00,2.526823e-02,38812
4.590000e+00,2.571875e-02,39504
4.610000e+00,2.589779e-02,39779
4.630000e+00,2.577604e-02,39592
4.650000e+00,2.554297e-02,39234
4.670000e+00,2.526432e-02,38806
4.690000e+00,2.562305e-02,39357
4.710000e+00,2.550195e-02,39171
4.730000e+00,2.570052e-02,39476
4.750000e+00,2.580729e-02,39640
4.770000e+00,2.545247e-02,39095
4.790000e+00,2.504167e-02,38464
4.810000e+00,2.570898e-02,39489
4.830000e+00,2.551237e-02,39187
4.850000e+00,2.549479e-02,39160
4.870000e+00,2.510352e-02,38559
4.890000e+00,2.503255e-02,38450
4.910000e+00,2.530990e-02,38876
4.930000e+00,2.555078e-02,39246
4.950000e+00,2.568359e-02,39450
4.970000e+00,2.550716e-02,39179
4.990000e+00,2.532422e-02,38898
5.010000e+00,2.495117e-02,38325
5.030000e+00,2.487760e-02,38212
5.050000e+00,2.530859e-02,38874
5.070000e+00,2.513411e-02,38606
5.090000e+00,2.481771e-02,38120
5.110000e+00,2.492057e-02,38278
5.130000e+00,2.515885e-02,38644
5.150000e+00,2.503581e-02,38455
5.170000e+00,2.497982e-02,38369
5.190000e+00,2.511393e-02,38575
5.210000e+00,2.476107e-02,38033
5.230000e+00,2.507422e-02,38514
5.250000e+00,2.496680e-02,38349
5.270000e+00,2.510286e-02,38558
5.290000e+00,2.500391e-02,38406
5.310000e+00,2.510937e-02,38568
5.330000e+00,2.490690e-02,38257
5.350000e+00,2.520898e-02,38721
5.370000e+00,2.530664e-02,38871
5.390000e+00,2.525130e-02,38786
5.410000e+00,2.518750e-02,38688
5.430000e+00,2.527734e-02,38826
5.450000e+00,2.549870e-02,39166
5.470000e+00,2.506510e-02,38500
5.490000e+00,2.492773e-02,38289
5.510000e+00,2.525000e-02,38784
5.530000e+00,2.544336e-02,39081
5.550000e+00,2.565690e-02,39409
5.570000e+00,2.522917e-02,38752
5.590000e+00,2.529883e-02,38859
5.610000e+00,2.514779e-02,38627
5.630000e+00,2.522786e-02,38750
5.650000e+00,2.508984e-02,38538
5.670000e+00,2.521094e-02,38724
5.690000e+00,2.512956e-02,38599
5.710000e+00,2.545313e-02,39096
5.730000e+00,2.565299e-02,39403
5.750000e+00,2.580404e-02,39635
5.770000e+00,2.562044e-02,39353
5.790000e+00,2.555534e-02,39253
5.810000e+00,2.492708e-02,38288
5.830000e+00,2.530729e-02,38872
5.850000e+00,2.494531e-02,38316
5.870000e+00,2.549935e-02,39167
5.890000e+00,2.514193e-02,38618
5.910000e+00,2.534635e-02,38932
5.930000e+00,2.505078e-02,38478
5.950000e+00,2.514779e-02,38627
5.970000e+00,2.509245e-02,38542
5.990000e+00,2.525456e-02,38791
6.010000e+00,2.523828e-02,38766
6.030000e+00,2.455664e-02,37719
6.050000e+00,2.489909e-02,38245
6.070000e+00,2.524740e-02,38780
6.090000e+00,2.507422e-02,38514
6.110000e+00,2.520312e-02,38712
6.130000e+00,2.545378e-02,39097
6.150000e+00,2.542708e-02,39056
6.170000e+00,2.529622e-02,38855
6.190000e+00,2.496289e-02,38343
6.210000e+00,2.500977e-02,38415
6.230000e+00,2.501107e-02,38417
6.250000e+00,2.523177e-02,38756
6.270000e+00,2.542253e-02,39049
6.290000e+00,2.580404e-02,39635
6.310000e+00,2.586458e-02,39728
6.330000e+00,2.582617e-02,39669
6.350000e+00,2.567122e-02,39431
6.370000e+00,2.519141e-02,38694
6.390000e+00,2.505078e-02,38478
6.410000e+00,2.524089e-02,38770
6.430000e+00,2.540430e-02,39021
6.450000e+00,2.547266e-02,39126
6.470000e+00,2.516016e-02,38646
6.490000e+00,2.481510e-02,38116
6.510000e+00,2.463737e-02,37843
6.530000e+00,2.494727e-02,38319
6.550000e+00,2.503516e-02,38454
6.570000e+00,2.536784e-02,38965
6.590000e+00,2.569792e-02,39472
6.610000e+00,2.563607e-02,39377
6.630000e+00,2.557813e-02,39288
6.650000e+00,2.554427e-02,39236
6.670000e+00,2.549870e-02,39166
6.690000e+00,2.574219e-02,39540
6.710000e+00,2.513867e-02,38613
6.730000e+00,2.518359e-02,38682
6.750000e+00,2.508398e-02,38529
6.770000e+00,2.582813e-02,39672
6.790000e+00,2.574023e-02,39537
6.810000e+00,2.542708e-02,39056
6.830000e+00,2.518685e-02,38687
6.850000e+00,2.494531e-02,38316
6.870000e+00,2.536849e-02,38966
6.890000e+00,2.503841e-02,38459
6.910000e+00,2.501562e-02,38424
6.930000e+00,2.491536e-02,38270
6.950000e+00,2.511523e-02,38577
6.970000e+00,2.477539e-02,38055
6.990000e+00,2.500977e-02,38415
7.010000e+00,2.477604e-02,38056
7.030000e+00,2.483203e-02,38142
7.050000e+00,2.490625e-02,38256
7.070000e+00,2.511263e-02,38573
7.090000e+00,2.562109e-02,39354
7.110000e+00,2.589128e-02,39769
7.130000e+00,2.560612e-02,39331
7.150000e+00,2.593555e-02,39837
7.170000e+00,2.597461e-02,39897
7.190000e+00,2.603320e-02,39987
7.210000e+00,2.614388e-02,40157
7.230000e+00,2.570638e-02,39485
7.250000e+00,2.565820e-02,39411
7.270000e+00,2.519661e-02,38702
7.290000e+00,2.527669e-02,38825
7.310000e+00,2.548047e-02,39138
7.330000e+00,2.550651e-02,39178
7.350000e+00,2.541927e-02,39044
7.370000e+00,2.555924e-02,39259
7.390000e+00,2.484635e-02,38164
7.410000e+00,2.482227e-02,38127
7.430000e+00,2.505729e-02,38488
7.450000e+00,2.522461e-02,38745
7.470000e+00,2.553385e-02,39220
7.490000e+00,2.489909e-02,38245
7.510000e+00,2.489062e-02,38232
7.530000e+00,2.529492e-02,38853
7.550000e+00,2.515299e-02,38635
7.570000e+00,2.471549e-02,37963
7.590000e+00,2.481706e-02,38119
7.610000e+00,2.531380e-02,38882
7.630000e+00,2.561719e-02,39348
7.650000e+00,2.532878e-02,38905
7.670000e+00,2.508333e-02,38528
7.690000e+00,2.504036e-02,38462
7.710000e+00,2.534245e-02,38926
7.730000e+00,2.596484e-02,39882
7.750000e+00,2.583659e-02,39685
7.770000e+00,2.537174e-02,38971
7.790000e+00,2.547201e-02,39125
7.810000e+00,2.536393e-02,38959
7.830000e+00,2.539974e-02,39014
7.850000e+00,2.551432e-02,39190
7.870000e+00,2.573438e-02,39528
7.890000e+00,2.573828e-02,39534
7.910000e+00,2.565820e-02,39411
7.930000e+00,2.568490e-02,39452
7.950000e+00,2.571159e-02,39493
7.970000e+00,2.550716e-02,39179
7.990000e+00,2.549870e-02,39166
8.010000e+00,2.528060e-02,38831
8.030000e+00,2.519401e-02,38698
8.050000e+00,2.544857e-02,39089
8.070000e+00,2.502930e-02,38445
8.090000e+00,2.490560e-02,38255
8.110000e+00,2.501107e-02,38417
8.130000e+00,2.530208e-02,38864
8.150000e+00,2.522005e-02,38738
8.170000e+00,2.491927e-02,38276
8.190000e+00,2.481445e-02,38115
8.210000e+00,2.505143e-02,38479
8.230000e+00,2.464388e-02,37853
8.250000e+00,2.491341e-02,38267
8.270000e+00,2.504818e-02,38474
8.290000e+00,2.517187e-02,38664
8.310000e+00,2.584505e-02,39698
8.330000e+00,2.602604e-02,39976
8.350000e+00,2.569531e-02,39468
8.370000e+00,2.590169e-02,39785
8.390000e+00,2.563346e-02,39373
8.410000e+00,2.586654e-02,39731
8.430000e+00,2.547721e-02,39133
8.450000e+00,2.552930e-02,39213
