time,kinetic_energy,potential_energy,total_energy
1.030000,706.109311,1760.237861,2466.347171,0.000000
1.040000,696.044082,1765.118024,2461.162105,0.000000
1.050000,684.671792,1770.314717,2454.986509,0.000000
1.060000,675.868281,1775.701728,2451.570009,0.000000
1.070000,666.241801,1781.688257,2447.930058,0.000000
1.080000,661.238122,1787.660716,2448.898838,0.000000
1.090000,657.144356,1793.500989,2450.645345,0.000000
1.100000,648.867318,1799.643926,2448.511244,0.000000
1.110000,641.086306,1805.294352,2446.380659,0.000000
1.120000,632.832130,1809.512401,2442.344531,0.000000
1.130000,625.921568,1812.592774,2438.514342,0.000000
1.140000,619.607523,1814.999218,2434.606740,0.000000
1.150000,613.380174,1816.560053,2429.940226,0.000000
1.160000,609.136738,1817.062710,2426.199448,0.000000
1.170000,609.146773,1816.229629,2425.376401,0.000000
1.180000,613.968344,1814.605728,2428.574072,0.000000
1.190000,619.402119,1812.890374,2432.292493,0.000000
1.200000,625.540182,1810.541231,2436.081413,0.000000
1.210000,627.169974,1808.893145,2436.063119,0.000000
1.220000,618.930923,1808.065316,2426.996239,0.000000
1.230000,612.190961,1808.285681,2420.476642,0.000000
1.240000,611.427683,1808.414863,2419.842546,0.000000
1.250000,609.813200,1808.979901,2418.793102,0.000000
1.260000,610.823991,1810.013700,2420.837691,0.000000
1.270000,612.233396,1810.425665,2422.659061,0.000000
1.280000,613.997335,1811.030973,2425.028308,0.000000
1.290000,618.052751,1811.775314,2429.828065,0.000000
1.300000,620.755330,1812.344797,2433.100127,0.000000
1.310000,621.566054,1812.819249,2434.385303,0.000000
1.320000,620.127120,1813.639148,2433.766268,0.000000
1.330000,616.064663,1813.797256,2429.861919,0.000000
1.340000,610.370340,1813.387948,2423.758287,0.000000
1.350000,609.478242,1812.638375,2422.116617,0.000000
1.360000,611.227799,1811.414325,2422.642124,0.000000
1.370000,612.638690,1809.740100,2422.378790,0.000000
1.380000,616.634828,1808.500722,2425.135550,0.000000
1.390000,621.734224,1806.464704,2428.198928,0.000000
1.400000,625.174016,1805.138853,2430.312869,0.000000
1.410000,631.457384,1802.625712,2434.083096,0.000000
1.420000,632.546356,1799.746558,2432.292913,0.000000
1.430000,626.323898,1796.724944,2423.048841,0.000000
1.440000,629.652826,1793.995826,2423.648652,0.000000
1.450000,632.484996,1791.681883,2424.166880,0.000000
1.460000,628.571192,1789.929728,2418.500920,0.000000
1.470000,624.978216,1787.209775,2412.187990,0.000000
1.480000,627.180787,1784.185514,2411.366301,0.000000
1.490000,634.460979,1780.358334,2414.819313,0.000000
1.500000,642.707108,1775.632350,2418.339458,0.000000
1.510000,654.046951,1770.797984,2424.844935,0.000000
1.520000,659.220056,1765.328614,2424.548670,0.000000
1.530000,661.828482,1759.740807,2421.569289,0.000000
1.540000,666.429540,1754.739248,2421.168788,0.000000
1.550000,664.994716,1751.010808,2416.005524,0.000000
1.560000,665.019390,1747.695116,2412.714507,0.000000
1.570000,662.680655,1745.286229,2407.966884,0.000000
1.580000,664.047547,1743.990189,2408.037736,0.000000
1.590000,670.059574,1743.500095,2413.559669,0.000000
1.600000,676.510822,1743.040299,2419.551121,0.000000
1.610000,679.436070,1743.267035,2422.703105,0.000000
1.620000,675.560164,1743.589130,2419.149294,0.000000
1.630000,668.869728,1745.193955,2414.063683,0.000000
1.640000,662.550738,1746.867706,2409.418444,0.000000
